id,title,description,link,image_link,availability,price,condition,brand
P01,Mobile Dog Groomer Route Planner Printable Planner,A practical printable workflow tool for mobile dog groomers from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506551326/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
P02,Micro Bakery Preorder Planner Printable Planner,A practical printable workflow tool for micro bakery sellers from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506546007/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
P03,Theater Costume Fitting Binder Printable Planner,A practical printable workflow tool for costume managers from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506551544/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
P04,Speech Therapy Home Practice Card Set Printable Planner,A practical printable workflow tool for parents and therapy support families from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506551666/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
P05,Aquarium Care Log Printable Planner,A practical printable workflow tool for aquarium owners from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506546361/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
P06,Field Trip Permission Tracker Printable Planner,A practical printable workflow tool for teachers from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506546497/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
P07,Homebrew Batch Journal Printable Planner,A practical printable workflow tool for homebrewers from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506551954/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
P08,Senior Care Handoff Binder Printable Planner,A practical printable workflow tool for family caregivers from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506552096/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
P09,Bridal Alterations Studio Planner Printable Planner,A practical printable workflow tool for bridal alterations studios from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506552236/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
P10,Orchestra Rehearsal Planner Printable Planner,A practical printable workflow tool for orchestra directors from Calm Creator Tools. Exact Pinterest catalog image URL and current price must be confirmed before upload.,https://www.etsy.com/listing/4506552360/,TODO_IMAGE_URL_REQUIRED,TODO_AVAILABILITY_CONFIRM_IN_STOCK,TODO_PRICE_CONFIRM_USD,new,Calm Creator Tools
